,name,company_url,locality,rating,hourly_rate,min_project_size,employee_size,contact
0,Naked.,http://app.nakeddev.com/application?utm_source=Clutch&utm_medium=Direct&utm_campaign=Naked%20Profile%20Link,"Irvine, CA",4.9,$100 - $149 / hr,"$25,000+",10 - 49,(949) 214-4003
1,Algoworks,http://www.algoworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Sunnyvale, CA",4.9,$25 - $49 / hr,"$10,000+",250 - 999,8772841028
2,Hyperlink InfoSystem,https://www.hyperlinkinfosystem.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Ahmedabad, India",4.8,< $25 / hr,"$10,000+",250 - 999,+91.8000.161.161
3,Mercury Development,https://mercdev.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Aventura, FL",5.0,$50 - $99 / hr,"$25,000+",50 - 249,9174701404
4,Emizen Tech,https://www.emizentech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Jaipur, India",4.9,$25 - $49 / hr,"$10,000+",50 - 249,+91 8107990154
5,Goji Labs,https://gojilabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Los Angeles, CA",5.0,$100 - $149 / hr,"$25,000+",10 - 49,2137877640
6,Netguru,https://www.netguru.com/services/?utm_source=clutch&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Poznań, Poland",4.8,$50 - $99 / hr,"$25,000+",250 - 999,442038713389
7,Blue Label Labs,https://goo.gl/ra5nnC,"New York, NY",4.8,$100 - $149 / hr,"$75,000+",50 - 249,2078905983
8,The NineHertz,https://theninehertz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Cincinnati, OH",4.8,< $25 / hr,"$5,000+",50 - 249,+13153814100
9,Sidebench,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral,"Santa Monica, CA",4.9,$150 - $199 / hr,"$50,000+",50 - 249,310-893-3589
10,Appinventiv,https://appinventiv.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=TopMobileAppDevelopmentCompanies,"Manhattan, NY",4.8,$25 - $49 / hr,"$50,000+",250 - 999,+1 646-585-0501
11,APPLIFY,https://www.applify.co/mobile-application-development?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"London, United Kingdom",5.0,$25 - $49 / hr,"$10,000+",50 - 249,+44 2033221046
12,CodigoDelSur,http://codigodelsur.com/?utm_source=clutch&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",4.8,$50 - $99 / hr,"$75,000+",50 - 249,0059823378873
13,December Labs,https://www.decemberlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Houston, TX",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+1 (713) 3642150
14,techahead,https://www.techaheadcorp.com/?utm_source=clutch&utm_medium=referral&utm_campaign=main-app-dev,"Agoura Hills, CA",4.8,$25 - $49 / hr,"$25,000+",50 - 249,+1 818-318-0727
15,Cheesecake Labs,https://cheesecakelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"San Francisco, CA",4.9,$50 - $99 / hr,"$50,000+",50 - 249,4156916007
16,itCraft,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-app-development,"Warszawa, Poland",5.0,$50 - $99 / hr,"$50,000+",50 - 249,+1 646 630 9053
17,Tapptitude,https://tapptitude.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Cluj-Napoca, Romania",4.9,$50 - $99 / hr,"$50,000+",50 - 249,+40743142383
18,ChopDawg.com,https://www.chopdawg.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Philadelphia, PA",4.9,$25 - $49 / hr,"$5,000+",10 - 49,(800) 490-1476
19,Geniusee,https://geniusee.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$50,000+",50 - 249,+1 512 394 8852
20,Infinum,https://infinum.com/clutch-lp/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"New York City, NY",4.8,$50 - $99 / hr,"$25,000+",50 - 249,+1 (917) 838-2194
21,Utility,https://utilitynyc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"New York, NY",4.8,$100 - $149 / hr,"$50,000+",50 - 249,(212) 328-1167
22,3 SIDED CUBE,https://3sidedcube.com/contact/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-app-developers,"Bournemouth, United Kingdom",4.9,$100 - $149 / hr,"$50,000+",10 - 49,+44 (0)1202 611 612
23,Xmartlabs,https://xmartlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",5.0,$50 - $99 / hr,"$50,000+",50 - 249,+1 628-400-0142
24,Dedicated Developers,https://dedicateddevelopers.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=https://dedicateddevelopers.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Alpharetta, GA",5.0,$50 - $99 / hr,"$25,000+",10 - 49,(770) 274-4482
25,Quytech,https://www.quytech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Gurugram, India",4.7,< $25 / hr,"$10,000+",50 - 249,+1-2134932650
26,mTraction Enterprise,https://enterprise.affle.com/mobile-app-development-services?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,Singapore,4.7,$25 - $49 / hr,"$25,000+",50 - 249,+6589087518
27,CitrusBits,https://www2.citrusbits.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"Los Angeles, CA",5.0,$100 - $149 / hr,"$25,000+",10 - 49,925-452-6012
28,RV Technologies,https://rvtechnologies.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Sahibzada Ajit Singh Nagar, India",4.8,< $25 / hr,"$5,000+",50 - 249,+919876429881
29,Empat,https://empat.tech/?utm_source=referral&utm_medium=platform&utm_campaign=clutch,"Kyiv, Ukraine",5.0,$25 - $49 / hr,"$25,000+",50 - 249,+380976250493
30,Radiansys Inc,http://www.radiansys.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Gurugram, India",5.0,< $25 / hr,"$10,000+",50 - 249,9899320307
31,MindSea,http://www.mindsea.com/?utm_source=clutch&utm_medium=referral&utm_campaign=app-developers-global,"Halifax, Canada",5.0,$150 - $199 / hr,"$10,000+",10 - 49,1 888 3905150
32,Yalantis,https://yalantis.com/expertise/mobile-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Dnipro, Ukraine",4.8,$25 - $49 / hr,"$25,000+",250 - 999,+12134019311
