,name,company_url,locality,rating,hourly_rate,min_project_size,employee_size,contact
0,Monterail,https://www.monterail.com/services/web-application-development?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Wrocław, Poland",4.8,$50 - $99 / hr,"$50,000+",50 - 249,533600136
1,Capital Numbers,https://www.capitalnumbers.com/web-application-development.php?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kolkata, India",4.8,< $25 / hr,"$10,000+",250 - 999,+913367992222
2,Imaginary Cloud,https://web.imaginarycloud.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=uk-developers?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"London, United Kingdom",5.0,$50 - $99 / hr,"$50,000+",50 - 249,+44 (0) 203 488 75 88
3,MentorMate,https://mentormate.com/web-development-company/?utm_source=clutch.co&utm_medium=platinum-sponsor&utm_campaign=clutch_web_development&utm_content=web-category,"Minneapolis, MN",4.7,$50 - $99 / hr,"$100,000+",250 - 999,+ 16128234000
4,The Software House,https://tsh.io/?utm_source=clutch&utm_medium=referral&utm_campaign=web_development&utm_content=web-developers,"Gliwice, Poland",4.8,$50 - $99 / hr,"$10,000+",50 - 249,+48 12 394 5645
5,S-PRO,https://s-pro.io/?utm_source=clutch&utm_medium=referral&utm_campaign=web-dev,"Warszawa, Poland",4.9,$50 - $99 / hr,"$25,000+",50 - 249,+1 888 208 0054
6,Netguru,https://www.netguru.com/services/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers,"Poznań, Poland",4.8,$50 - $99 / hr,"$25,000+",250 - 999,442038713389
7,BairesDev,https://bairesdev.com/landing/c/web-development/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers,"San Francisco, CA",4.9,$50 - $99 / hr,"$50,000+","1,000 - 9,999",1 (408) 478-2739
8,10Clouds,https://10clouds.com/services/web/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+48 575 909 903
9,Sidebench,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral,"Santa Monica, CA",4.9,$150 - $199 / hr,"$50,000+",50 - 249,310-893-3589
10,December Labs,https://decemberlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Houston, TX",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+1 (713) 3642150
11,Infinum,https://infinum.com/clutch-lp/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"New York City, NY",4.8,$50 - $99 / hr,"$25,000+",50 - 249,+1 (917) 838-2194
12,Cheesecake Labs,https://cheesecakelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"San Francisco, CA",4.9,$50 - $99 / hr,"$50,000+",50 - 249,4156916007
13,Scopic,https://scopicsoftware.com/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers,"Rutland, MA",4.9,$25 - $49 / hr,"$10,000+",50 - 249,8557175586
14,Softermii,https://www.softermii.com/clutch-top-rated-software-development-company/?utm_source=clutch&utm_medium=referral&utm_campaign=web-dev,"Studio City, CA",4.9,$25 - $49 / hr,"$25,000+",50 - 249,1 (424) 533-5520
15,Xmartlabs,https://xmartlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Montevideo, Uruguay",5.0,$50 - $99 / hr,"$50,000+",50 - 249,+1 628-400-0142
16,Yalantis,https://yalantis.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Dnipro, Ukraine",4.8,$25 - $49 / hr,"$25,000+",250 - 999,+12134019311
17,Moove It,https://moove-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Austin, TX",4.8,$50 - $99 / hr,"$100,000+",50 - 249,(512) 949-8991
18,Xfive.co Pty LTD,https://www.xfive.co/service/trusted-development-design-partner/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kraków, Poland",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+1 (415) 704 1533
19,CyberCraft Inc.,https://cybercraftinc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"L'viv, Ukraine",4.9,$25 - $49 / hr,"$50,000+",50 - 249,+380 63 99 11 633
20,Báchoo,https://bachoodesign.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=Man-web-development,"El Segundo, CA",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+1 904 514 8018
21,Binary Studio,https://binary-studio.com/web-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"L'viv, Ukraine",4.9,$50 - $99 / hr,"$25,000+",50 - 249,+3 803 223 164 54
22,Gorilla Logic,https://gorillalogic.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Broomfield, CO",4.8,$50 - $99 / hr,"$250,000+",250 - 999,(303) 974-7088
23,Steelkiwi,https://steelkiwi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Belmont, CA",4.8,$25 - $49 / hr,"$50,000+",50 - 249,+1 415-449-8696
24,Blink22,https://blink22.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Dubai, United Arab Emirates",4.9,$50 - $99 / hr,"$25,000+",50 - 249,+971547650545
25,Closeloop Technologies,https://closeloop.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Sahibzada Ajit Singh Nagar, India",5.0,$25 - $49 / hr,"$10,000+",10 - 49,+1 (650) 265 7175
26,ChopDawg.com,https://www.chopdawg.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Philadelphia, PA",4.9,$25 - $49 / hr,"$5,000+",10 - 49,(800) 490-1476
27,Radiansys Inc,http://www.radiansys.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Gurugram, India",5.0,< $25 / hr,"$10,000+",50 - 249,9899320307
28,Polcode,https://polcode.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+48 22 188 15 06
29,Wonderment Apps,https://www.wondermentapps.com/landing/c/web-development/?utm_medium=search&utm_source=clutch&utm_campaign=mp_web_development&utm_term=web_development,"Los Angeles, CA",4.9,$50 - $99 / hr,"$5,000+",50 - 249,+1 (866) 268-7110
30,JetRuby Agency,https://jetruby.com/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers&utm_content=review_platforms,"Toronto, Canada",4.9,$25 - $49 / hr,"$50,000+",50 - 249,+14155087706
31,Fulcrum,https://fulcrum.rocks/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kyiv, Ukraine",4.9,$25 - $49 / hr,"$10,000+",50 - 249,+380981145472
32,TechWings,https://techwings.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kraków, Poland",4.8,$50 - $99 / hr,"$10,000+",50 - 249,+1 888-216-6398
33,Azumo,https://azumo.com/growth/software-development-leader?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"San Francisco, CA",4.8,$25 - $49 / hr,"$25,000+",50 - 249,4156107002
34,eTeam,https://eteam.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"San Francisco, CA",4.9,$25 - $49 / hr,"$25,000+",50 - 249,+1 (213) 839-8500
35,Urban Insight,https://www.urbaninsight.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers-global,"Los Angeles, CA",5.0,$150 - $199 / hr,"$50,000+",10 - 49,213-792-2000
36,Wolfpack Digital,https://wolfpack-digital.com/?utm_source=clutch&utm_campaign=web-developers,"Cluj-Napoca, Romania",5.0,$50 - $99 / hr,"$25,000+",50 - 249,+40752821508
37,Sloboda Studio,http://sloboda-studio.com/?utm_source=clutch&utm_medium=web_developers_global&utm_campaign=web-developers-global,"Paralepa, Estonia",4.9,$25 - $49 / hr,"$25,000+",50 - 249,+4916094851513
